artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
Houl,Hé Zoul,0.7272727272727273,3,1
Sherer,Herer,0.7272727272727273,2,1
Sherer,Sheri,0.7272727272727273,2,1
Vers,Villers,0.7272727272727273,3,1
Sabeth,Saber,0.7272727272727273,2,1
Krast,Krasno,0.7272727272727273,1,1
Layer,L Dyer,0.7272727272727273,1,1
Dain,Dai Han,0.7272727272727273,3,1
Teimei,Zimei,0.7272727272727273,2,1
Edward Węglowski,Edward Łazikowski,0.7272727272727273,4,1
Asier,Rosier,0.7272727272727273,1,1
Wane,Wathone,0.7272727272727273,3,1
Chams,Chamar,0.7272727272727273,1,1
Wedgwood,James Wedgwood,0.7272727272727273,6,1
Arone,Turone,0.7272727272727273,1,1
Arone,Ankone,0.7272727272727273,1,1
Sexer,Apexer,0.7272727272727273,1,1
Lemaître,André Lemaître,0.7272727272727273,6,1
Panik,Panini,0.7272727272727273,1,1
Molly Mason,Molly Guion,0.7272727272727273,3,1
Katre,Katrot,0.7272727272727273,1,1
Molly Mason,Emily Mason,0.7272727272727273,3,1
Arone,Nerone,0.7272727272727273,1,1
Dreux Jean,"Drevon, Jean",0.7272727272727273,2,1
Santa Eulalia,Master of Santa Eulalia,0.7222222222222222,10,1
Yuyuya Nampitjinpa,Sandra Nampitjinpa,0.7222222222222222,5,1
Rasmus Dekker,Titus Dekker,0.72,4,1
Miao Xiaochun,Zhu Xiaochun,0.72,4,1
Matt Sewell,Matt Blackwell,0.72,2,1
Burroughs,Bryson Burroughs,0.72,7,1
Toshinaga,Toshiaki Suenaga,0.72,7,1
Piotr Barącz,Piotr Barsony,0.72,3,1
Drašković,Julija Drašković,0.72,7,1
Rasmus Dekker,Rasmus Ryter,0.72,4,1
Gautherot,Claude Gautherot,0.72,7,1
Leif Elggren,Leif Formgren,0.72,3,1
Leif Elggren,Leif Lundgren,0.72,3,1
Antes,Antorides,0.7142857142857143,4,1
Binge,Bing Dawe,0.7142857142857143,4,1
Leias,Lee Elias,0.7142857142857143,4,1
Dulong,Du Qiong,0.7142857142857143,1,1
Affonso,Mafonso,0.7142857142857143,2,1
Lotty Rosenfeld,Max Rosenfeld,0.7142857142857143,5,1
G. P. Nerli,Girolamo P. Nerli,0.7142857142857143,1,1
Ourania,Osmania,0.7142857142857143,2,1
Jan Marten Kleman,Jan Martens,0.7142857142857143,7,1
Ryder,Eve Ryder,0.7142857142857143,4,1
Shaun Gladwell,Shaun McDowell,0.7142857142857143,4,1
Tashiro,Koshiro,0.7142857142857143,2,1
Jānis Tīdemanis,Jānis Straumanis,0.7096774193548387,4,1
Ismael,Juan Ismael,0.7058823529411765,5,1
Ismael,Ismael Nery,0.7058823529411765,5,1
Cyril V,Cyril Mann,0.7058823529411765,1,1
Cyril V,Cyril Ward,0.7058823529411765,1,1
Cyril V,Cyril Gaja,0.7058823529411765,1,1
Cyril V,Cyril Ford,0.7058823529411765,1,1
Boston,Paul Boston,0.7058823529411765,5,1
I Dewa Putu Kantor,I Dewa Putu Sugi,0.7058823529411765,6,1
Roldán,José Roldán,0.7058823529411765,5,1
Gurney,Hugh Gurney,0.7058823529411765,5,1
Nunzio,Nunzio Bava,0.7058823529411765,5,1
Emile-Jean-Horace Vernet,Horace Vernet,0.7027027027027027,11,1
Despret,Desprets J.B.,0.7,6,1
Reko Rennie,Ed Rennie,0.7,4,1
Tai Han-Hong,Tai Heng,0.7,5,1
Baranyai,Lörinc Baranyai,0.6956521739130435,7,1
Jesus Saves,Jesus Montes,0.6956521739130435,3,1
Baranyai,Ferenc Baranyai,0.6956521739130435,7,1
Augsburg,Amalie Augsburg,0.6956521739130435,7,1
Bakewell,Robert Bakewell,0.6956521739130435,7,1
Jung Wook Kim,Jung Hyun Kim,0.6923076923076923,4,1
Ignatius Lux,Ignatius Croon,0.6923076923076923,3,1
Jan Myers-Newbury,Jan Myers,0.6923076923076923,8,1
Hattatt Painter,Harrow Painter,0.6896551724137931,5,1
Sead,Stu Mead,0.6666666666666666,4,1
Spe,Sleppe,0.6666666666666666,3,1
Wrist,Mist,0.6666666666666666,2,1
Zes,Zeuxis,0.6666666666666666,3,1
Sirum,Sir2,0.6666666666666666,2,1
Scie,Scipione,0.6666666666666666,4,1
Sepr,Segar,0.6666666666666666,1,1
Vol,Pol,0.6666666666666666,1,1
Vol,Vukvol,0.6666666666666666,3,1
Speto,Sorveto,0.6666666666666666,1,1
Soda,Sanda,0.6666666666666666,1,1
Sp38,SP 38,0.6666666666666666,1,1
Vizner,Josef Vizner,0.6666666666666666,6,1
Tissot,James Tissot,0.6666666666666666,6,1
Wise Two,Wise,0.6666666666666666,4,1
Wuze,Wu Ye,0.6666666666666666,1,1
XEL,KEL,0.6666666666666666,1,1
System,Sem,0.6666666666666666,3,1
Tanc,Tania,0.6666666666666666,1,1
Yok,Yek,0.6666666666666666,1,1
Sudo,Sucho,0.6666666666666666,1,1
Vasco Ascolini,Vasco Bendini,0.6666666666666666,5,1
Styck,Stik,0.6666666666666666,2,1
Relay,Rex Ray,0.6666666666666666,1,1
Reka,Róska,0.6666666666666666,1,1
Rapto,Raps,0.6666666666666666,2,1
Ucon,Micon,0.6666666666666666,1,1
Yi-Hsin Wu,Yi Wu,0.6666666666666666,5,1
Teevee,Terlee,0.6666666666666666,2,1
